Country,CO2,Country.1,PM,Public Transport,Landfill,Recycle,Water Reuse,Water Stress,Accommodation,Temp_x,Energy Use,Temp_y
Trinidad and Tobago,1704.6332,26.739344,10.26482,,0.548056622,,245.7,,6236.95228,,3128.5032,
Tunisia,670.0036,9.90153,26.52402,,0.242284843,4,288.9,4.28,1075.9664,21.44,179.87782,21.44
Turkey,1035.0515,14.243301,23.25106,58.3,0.423999986,,644.9,3.39,2500.73326,12.24,119.11535,12.24
Turkmenistan,1536.611,17.980146,26.40925,23.08889,0.093174467,,5415,3.74,7692.7363,17.66,16035.524,17.66
Tuvalu,0,,6.80654,,0.359510363,15,,,0,28.6,0,28.6
Uganda,78.41444,1.6908772,31.31261,18.025,0.20075,6,12.52,0.2,227.8456954,23.14,0,23.14
Ukraine,40.19609,0,13.50727,81.666664,0.338676715,3.2,381.7,1.37,1636.83348,10.04,504.03464,10.04
United Arab Emirates,3474.8784,65.41637,41.7495,50.75,0.574961908,20,855.6,5,6653.91855,28.93,4637.7275,28.93
United Kingdom,1571.5911,32.854538,9.51575,95.55827,0.463000011,27.25,266.6,1.3,2351.7398,10.11,93.13675,10.11
United States,4975.873,113.283,7.17987,58.905712,0.811860073,34.6,1939,2.6,7108.3689,9.73,1243.7413,9.73
Upper-middle-income countries,760.0966,14.878517,,,,,,,3411.5033,,604.7659,
Uruguay,1217.961,23.592466,8.47571,55.7,0.367221452,8,1100,1.83,601.6079,17.73,0,17.73
Uzbekistan,510.03244,7.7277646,40.97948,18.942858,0.134343146,,2415,3.63,2242.7689,14.86,729.272,14.86
Vanuatu,543.02515,,8.42148,,0.259707728,37,,,159.713276,24.76,0,24.76
Venezuela,521.03613,10.278944,16.21392,42.465385,,,356.9,1.82,1232.76441,,3632.7205,
Vietnam,439.7042,7.4237075,20.8923,48.666668,0.110088867,23,,2.11,1501.89622,24.73,210.3718,24.73
World,989.97595,18.067902,31.69578,,,,,,2485.19734,,422.93204,
Yemen,70.63832,1.3081172,41.60944,41.019997,,,180.5,4.69,111.451573,,178.6888,
Zambia,123.55521,1.9848225,16.8967,9.4,0.182847011,,141.1,0.85,439.63822,21.92,0.49620563,21.92
Zimbabwe,140.02063,3.7338834,13.07553,74.1,0.115975289,16,,2.17,519.63214,21.83,12.446279,21.83
